Cycle,PID,Title,PI,Institution,Configuration,UV,Filter,Science Mode,Prime Orbits,Targets,Sub-science theme,Comment
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,COS/NUV,Yes,G230L,Spectroscopic,10,LHS-1478,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,STIS/NUV-MAMA,Yes,G230L,Spectroscopic,1,LHS-1478,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,STIS/CCD,Yes,G430L,Spectroscopic,1,LHS-1478,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,COS/FUV,Yes,G130M,Spectroscopic,8,L-231-32,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,COS/FUV,Yes,G160M,Spectroscopic,8,L-231-32,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,COS/NUV,Yes,G230L,Spectroscopic,8,L-231-32,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,STIS/NUV-MAMA,Yes,G230L,Spectroscopic,1,L-231-32,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,STIS/CCD,Yes,G430L,Spectroscopic,1,L-231-32,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,COS/FUV,Yes,G130M,Spectroscopic,2,HD 260655,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,COS/FUV,Yes,G160M,Spectroscopic,2,HD 260655,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,COS/NUV,Yes,G230L,Spectroscopic,2,HD 260655,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,STIS/NUV-MAMA,Yes,G230L,Spectroscopic,4,HD 260655,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,STIS/FUV-MAMA,Yes,G140M,Spectroscopic,4,HD 260655,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,STIS/CCD,Yes,G430L,Spectroscopic,4,HD 260655,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,COS/FUV,Yes,G130M,Spectroscopic,9,LTT-3780,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,COS/FUV,Yes,G160M,Spectroscopic,9,LTT-3780,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,COS/NUV,Yes,G230L,Spectroscopic,9,LTT-3780,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,STIS/NUV-MAMA,Yes,G230L,Spectroscopic,1,LTT-3780,Stellar Characterization,
31,17503,"Hot Rock Stars: Capturing high-energy spectra of 5 M dwarfs hosting
terrestrial exoplanets that JWST will test for atmospheres","Diamond-Lowe, Hannah",Technical University of Denmark-DTU Space,STIS/CCD,Yes,G430L,Spectroscopic,1,LTT-3780,Stellar Characterization,
31,17534,"A young burping planet: characterizing the variable atmospheric escape of
the exciting AU Mic b","Rockcliffe, Keighley",Dartmouth College,STIS/FUV-MAMA,Yes,E140M,Spectroscopic,2,Au Mic b,Transmission Spectroscopy,
31,17534,"A young burping planet: characterizing the variable atmospheric escape of
the exciting AU Mic b","Rockcliffe, Keighley",Dartmouth College,STIS/FUV-MAMA,Yes,E140M,Spectroscopic,3,Au Mic b,Transmission Spectroscopy,
31,17534,"A young burping planet: characterizing the variable atmospheric escape of
the exciting AU Mic b","Rockcliffe, Keighley",Dartmouth College,STIS/FUV-MAMA,Yes,E140M,Spectroscopic,5,Au Mic b,Transmission Spectroscopy,
31,17534,"A young burping planet: characterizing the variable atmospheric escape of
the exciting AU Mic b","Rockcliffe, Keighley",Dartmouth College,STIS/FUV-MAMA,Yes,E140M,Spectroscopic,2,Au Mic b,Transmission Spectroscopy,
31,17534,"A young burping planet: characterizing the variable atmospheric escape of
the exciting AU Mic b","Rockcliffe, Keighley",Dartmouth College,STIS/FUV-MAMA,Yes,E140M,Spectroscopic,3,Au Mic b,Transmission Spectroscopy,
31,17534,"A young burping planet: characterizing the variable atmospheric escape of
the exciting AU Mic b","Rockcliffe, Keighley",Dartmouth College,STIS/FUV-MAMA,Yes,E140M,Spectroscopic,5,Au Mic b,Transmission Spectroscopy,
31,17537,How shiny is HD209458b in the NUV?,"Fu, Guangwei",JHU,STIS/CCD,Yes,G430L,Spectroscopic,10,HD 209458b,Secondary Eclipses,
31,17543,Unveiling the nightside of ultra-short period ultra-hot Jupiter TOI-2109b,"Fu, Guangwei",JHU,WFC3/IR,No,G141,Spectroscopic,30,TOI-2109b,Phase Curve,Two phase curves plus two eclipses
30,17082,"Measuring the refractory and volatile content of a dynamically distinct
ultrahot Jupiter","Chachan, Yayaati",California Institute of Technology,WFC3/IR,No,G141,Spectroscopic,6,Kelt-20b,Transmission Spectroscopy,
30,17082,"Measuring the refractory and volatile content of a dynamically distinct
ultrahot Jupiter","Chachan, Yayaati",California Institute of Technology,WFC3/IR,No,G102,Spectroscopic,6,Kelt-20b,Transmission Spectroscopy,
30,17082,"Measuring the refractory and volatile content of a dynamically distinct
ultrahot Jupiter","Chachan, Yayaati",California Institute of Technology,WFC3/UVIS,Yes,G280,Spectroscopic,10,Kelt-20b,Transmission Spectroscopy,
30,17082,"Measuring the refractory and volatile content of a dynamically distinct
ultrahot Jupiter","Chachan, Yayaati",California Institute of Technology,COS/FUV,Yes,G160M,Spectroscopic,0,Kelt-20b,Transmission Spectroscopy,Duplicated with 17156
30,17090,ANCHORING THE ENERGY BUDGET OF THE KEYSTONE JWST ERS ULTRA-HOT TARGET WASP-18 B,Caroline Piaulet Ghorayeb,Universite de Montreal,WFC3/UVIS,Yes,G280,Spectroscopic,10,WASP-18b,Secondary Eclipses,
30,17094,Constraining the mass loss in evaporating planets by catching the second tail,Jessica Spake ,California Institute of Technology,STIS/FUV-MAMA,Yes,G140M,Spectroscopic,15,HD209458b,Transmission Spectroscopy,
30,17152,Probing for the extended exosphere of a 100 Myr mini-Neptune,"Zhou, George",University of Southern Queensland,STIS/FUV-MAMA,Yes,G140M,Spectroscopic,15,HIP 94235b,Transmission Spectroscopy,
30,17156,"Transiting Ultra-hot Gas Giants: Astrophysical Laboratories for Atmospheric
Escape Studies","Cauley, Paul",University of Colorado at Boulder,COS/FUV,Yes,G160M,Spectroscopic,5,WASP-33b,Transmission Spectroscopy,
30,17156,"Transiting Ultra-hot Gas Giants: Astrophysical Laboratories for Atmospheric
Escape Studies","Cauley, Paul",University of Colorado at Boulder,COS/FUV,Yes,G160M,Spectroscopic,5,KELT-20b,Transmission Spectroscopy,
30,17156,"Transiting Ultra-hot Gas Giants: Astrophysical Laboratories for Atmospheric
Escape Studies","Cauley, Paul",University of Colorado at Boulder,STIS/FUV-MAMA,Yes,E140M,Spectroscopic,5,KELT-9b,Transmission Spectroscopy,
30,17156,"Transiting Ultra-hot Gas Giants: Astrophysical Laboratories for Atmospheric
Escape Studies","Cauley, Paul",University of Colorado at Boulder,COS/FUV,Yes,G160M,Spectroscopic,5,MASCARA-1b,Transmission Spectroscopy,
30,17157,"Observing the Overlooked Double Lyman-alpha Transit of HD 189733 b to
Break Mass Loss Rate Degeneracies","Loyd, R. O.",Eureka Scientific Inc.,STIS/FUV-MAMA,Yes,G140M,Spectroscopic,14,HD 189733b,Transmission Spectroscopy,
30,17162,"The HST/JWST synergy: A deep dive into the NUV with WASP-39b to
answer key formation questions","Sing, David",JHU,WFC3/UVIS,Yes,G280,Spectroscopic,24,WASP-39b,Transmission Spectroscopy,
30,17183,"Hubble Ultraviolet-optical Survey of Transiting Legacy Exoplanets
(HUSTLE) treasury program","Wakeford, Hannah",University of Bristol,WFC3/UVIS,Yes,G280,Spectroscopic,5,WASP-76b,Transmission Spectroscopy,
30,17183,"Hubble Ultraviolet-optical Survey of Transiting Legacy Exoplanets
(HUSTLE) treasury program","Wakeford, Hannah",University of Bristol,WFC3/UVIS,Yes,G280,Spectroscopic,4,HAT-P-32b,Transmission Spectroscopy,
30,17183,"Hubble Ultraviolet-optical Survey of Transiting Legacy Exoplanets
(HUSTLE) treasury program","Wakeford, Hannah",University of Bristol,WFC3/UVIS,Yes,G280,Spectroscopic,5,KELT-7b,Transmission Spectroscopy,
30,17183,"Hubble Ultraviolet-optical Survey of Transiting Legacy Exoplanets
(HUSTLE) treasury program","Wakeford, Hannah",University of Bristol,WFC3/UVIS,Yes,G280,Spectroscopic,18,WASP-63b,Transmission Spectroscopy,
30,17183,"Hubble Ultraviolet-optical Survey of Transiting Legacy Exoplanets
(HUSTLE) treasury program","Wakeford, Hannah",University of Bristol,WFC3/UVIS,Yes,G280,Spectroscopic,10,WASP-166b,Transmission Spectroscopy,
30,17183,"Hubble Ultraviolet-optical Survey of Transiting Legacy Exoplanets
(HUSTLE) treasury program","Wakeford, Hannah",University of Bristol,WFC3/UVIS,Yes,G280,Spectroscopic,5,WASP-127b,Transmission Spectroscopy,
30,17183,"Hubble Ultraviolet-optical Survey of Transiting Legacy Exoplanets
(HUSTLE) treasury program","Wakeford, Hannah",University of Bristol,WFC3/UVIS,Yes,G280,Spectroscopic,8,KELT-11b,Transmission Spectroscopy,
30,17183,"Hubble Ultraviolet-optical Survey of Transiting Legacy Exoplanets
(HUSTLE) treasury program","Wakeford, Hannah",University of Bristol,WFC3/UVIS,Yes,G280,Spectroscopic,4,WASP-31b,Transmission Spectroscopy,
30,17183,"Hubble Ultraviolet-optical Survey of Transiting Legacy Exoplanets
(HUSTLE) treasury program","Wakeford, Hannah",University of Bristol,WFC3/UVIS,Yes,G280,Spectroscopic,12,HAT-P-12b,Transmission Spectroscopy,
30,17183,"Hubble Ultraviolet-optical Survey of Transiting Legacy Exoplanets
(HUSTLE) treasury program","Wakeford, Hannah",University of Bristol,WFC3/UVIS,Yes,G280,Spectroscopic,12,HAT-P-26b,Transmission Spectroscopy,
30,17183,"Hubble Ultraviolet-optical Survey of Transiting Legacy Exoplanets
(HUSTLE) treasury program","Wakeford, Hannah",University of Bristol,WFC3/UVIS,Yes,G280,Spectroscopic,0,WASP-39b,Transmission Spectroscopy,Duplication with 17162
30,17183,"Hubble Ultraviolet-optical Survey of Transiting Legacy Exoplanets
(HUSTLE) treasury program","Wakeford, Hannah",University of Bristol,WFC3/UVIS,Yes,G280,Spectroscopic,18,WASP-189b,Transmission Spectroscopy,
30,17183,"Hubble Ultraviolet-optical Survey of Transiting Legacy Exoplanets
(HUSTLE) treasury program","Wakeford, Hannah",University of Bristol,WFC3/UVIS,Yes,G280,Spectroscopic,5,WASP-17b,Transmission Spectroscopy,
30,17183,"Hubble Ultraviolet-optical Survey of Transiting Legacy Exoplanets
(HUSTLE) treasury program","Wakeford, Hannah",University of Bristol,WFC3/UVIS,Yes,G280,Spectroscopic,8,HAT-P-1b,Transmission Spectroscopy,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,WFC3/IR,No,G141,Spectroscopic,20,TOI-178b,Transmission Spectroscopy,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,WFC3/IR,No,G141,Spectroscopic,24,TOI-1201b,Transmission Spectroscopy,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,STIS/FUV-MAMA,Yes,G140M,Spectroscopic,7,TOI-1201b,Stellar Characterization,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,STIS/NUV-MAMA,Yes,G140L,Spectroscopic,7,TOI-1201b,Stellar Characterization,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,STIS/FUV-MAMA,Yes,G230L,Spectroscopic,7,TOI-1201b,Stellar Characterization,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,WFC3/IR,No,G141,Spectroscopic,10,TOI-431b,Transmission Spectroscopy,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,STIS/NUV-MAMA,Yes,E140M,Spectroscopic,2,TOI-431b,Stellar Characterization,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,STIS/NUV-MAMA,Yes,G140L,Spectroscopic,2,TOI-431b,Stellar Characterization,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,STIS/FUV-MAMA,Yes,G230L,Spectroscopic,2,TOI-431b,Stellar Characterization,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,WFC3/IR,No,G141,Spectroscopic,20,TOI-561b,Transmission Spectroscopy,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,STIS/NUV-MAMA,Yes,E140M,Spectroscopic,2,TOI-561b,Stellar Characterization,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,STIS/NUV-MAMA,Yes,G140L,Spectroscopic,2,TOI-561b,Stellar Characterization,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,STIS/FUV-MAMA,Yes,G230L,Spectroscopic,2,TOI-561b,Stellar Characterization,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,WFC3/IR,No,G141,Spectroscopic,36,HD 86226c,Transmission Spectroscopy,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,STIS/NUV-MAMA,Yes,E230M,Spectroscopic,2,HD 86226c,Stellar Characterization,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,STIS/FUV-MAMA,Yes,G140L,Spectroscopic,2,HD 86226c,Stellar Characterization,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,STIS/FUV-MAMA,Yes,G230L,Spectroscopic,2,HD 86226c,Stellar Characterization,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,WFC3/IR,No,G141,Spectroscopic,24,TOI-1797c,Transmission Spectroscopy,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,STIS/NUV-MAMA,Yes,E230M,Spectroscopic,4,TOI-1797c,Stellar Characterization,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,STIS/FUV-MAMA,Yes,G140L,Spectroscopic,4,TOI-1797c,Stellar Characterization,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,WFC3/IR,No,G141,Spectroscopic,12,HD 191939b,Transmission Spectroscopy,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,STIS/FUV-MAMA,Yes,G140M,Spectroscopic,2,HD 191939b,Stellar Characterization,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,STIS/NUV-MAMA,Yes,G140L,Spectroscopic,2,HD 191939b,Stellar Characterization,
30,17192,"The SPACE Program: a Sub-neptune Planetary Atmosphere
Characterization Experiment","Kreidberg, Laura",Max Planck Institute for Astronomy,STIS/FUV-MAMA,Yes,G230L,Spectroscopic,2,HD 191939b,Stellar Characterization,
